Combine,population
"Boyd, WI",552
"Ellsworth, ME",7741
"Chelsea, SD",27
"Cresbard, SD",104
"Onaka, SD",15
"Orient, SD",63
"Conde, SD",140
"Doland, SD",180
"Northville, SD",143
"Newell, SD",603
"Nisland, SD",232
"Boyceville, WI",1086
"Clark, SD",1139
"Naples, SD",41
"Clara City, MN",1360
"Bowler, WI",302
"Plattsburgh, NY",19989
"Ogdensburg, NY",11128
"Clear Lake, SD",1273
"Onida, SD",658
"Belfast, ME",6668
"Philip, SD",779
"Augusta, ME",19136
"Gardiner, ME",5800
"Hallowell, ME",2381
"Waterville, ME",15722
"Zumbrota, MN",3252
"Hobart, WI",6182
"Bellevue, WI",14570
"Suamico, WI",11346
"Embarrass, WI",404
"Central City, SD",134
"Deadwood, SD",1270
"Pierre, SD",13646
"De Smet, SD",1089
"Oldham, SD",133
"Whittemore, MI",384
"West Branch, MI",2139
"New Underwood, SD",660
"Auburn, ME",23055
"Lewiston, ME",36592
"Lake City, MN",5063
"Rockland, ME",7297
"Oacoma, SD",451
"Colman, SD",594
"Nunda, SD",43
"Minnesota City, MN",204
"Portland, ME",66194
"South Portland, ME",25002
"Westbrook, ME",17494
"Draper, SD",82
"Murdo, SD",488
"Bath, ME",8514
"Little Falls, NY",4946
"Cottonwood, SD",9
"Endeavor, WI",468
"Chamberlain, SD",2387
"Custer, SD",2067
"Mount Vernon, SD",462
"Colton, SD",687
"Crooks, SD",1269
"Dell Rapids, SD",3633
"Biddeford, ME",21277
"Saco, ME",18482
"White Cloud, MI",1408
"Glens Falls, NY",14700
"Colome, SD",296
"Fulton, NY",11896
"Oswego, NY",18142
"Rome, NY",33725
"Sherrill, NY",3071
"Zilwaukee, MI",1658
"Algona, IA",5560
"Dante, SD",84
"Pickstown, SD",201
"Chancellor, SD",264
"Davis, SD",85
"Dolton, SD",37
"Parker, SD",1022
"Dimock, SD",125
"Olivet, SD",74
"Parkston, SD",1508
"Corsica, SD",592
"Delmont, SD",234
"Dallas, SD",120
"Oelrichs, SD",126
"Whitehall, MI",2706
"Auburn, NY",27687
"Mechanicville, NY",5196
"Saratoga Springs, NY",26586
"Lockport, NY",21165
"Niagara Falls, NY",50193
"North Tonawanda, NY",31568
"Rochester, NY",210565
"Wyoming, MI",72125
"Gloversville, NY",15665
